"pathway","log2FC","pvalue","FDR"
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)|g__Gemmiger.s__Gemmiger_formicilis",-0.410240229869226,0.0538465432474933,0.100504271505011
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Gemmiger.s__Gemmiger_formicilis",-0.410711958402891,0.0539573376313286,0.100624398147237
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_vulgatus",0.122331974848559,0.0541780847452797,0.100771500547197
"VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum",0.0527793648778699,0.0542222287208267,0.100771500547197
"PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_stercoris",-0.017644039673664,0.0541839530715779,0.100771500547197
"PWY-5103: L-isoleucine biosynthesis III|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.284717757967622,0.0541155309412849,0.100771500547197
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Roseburia.s__Roseburia_inulinivorans",0.350399852543172,0.0544300840733545,0.101071115841439
"HSERMETANA-PWY: L-methionine biosynthesis III|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.194692737190441,0.0551309683330629,0.102284938679578
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.118817121041074,0.0552670079834145,0.102449620444875
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.304873465576269,0.0558876402014899,0.103511552407375
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|g__Bacteroides.s__Bacteroides_vulgatus",0.0949965932976061,0.0560502531485509,0.103724080762519
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Alistipes.s__Alistipes_putredinis",-0.20235215815824,0.0566367305455515,0.104719961682773
"PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.100140812927434,0.0568806245668397,0.104991749093988
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.137368814839022,0.0568490836164987,0.104991749093988
"PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans",-0.308020485358174,0.0570855054994501,0.105280247163667
"PWY-6168: flavin biosynthesis III (fungi)|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.196611913182486,0.0574094323676249,0.105787618997145
"PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis",0.18180218851069,0.0574633783594139,0.105797061091631
"PWY-5667: CDP-diacylglycerol biosynthesis I|g__Alistipes.s__Alistipes_finegoldii",0.218094102598634,0.0577361948534967,0.106060994830354
"PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Alistipes.s__Alistipes_finegoldii",0.218094102598634,0.0577361948534967,0.106060994830354
"PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis",0.332308737949294,0.0577535643284809,0.106060994830354
"PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.133531371026335,0.058110746468594,0.106626577135854
"PWY-6305: putrescine biosynthesis IV|g__Ruminococcus.s__Ruminococcus_bicirculans",-0.308877664724664,0.058462295228791,0.107180874586117
"GALACTUROCAT-PWY: D-galacturonate degradation I|unclassified",0.00464153253099612,0.0585406869559737,0.107233870358068
"PWYG-321: mycolate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus",0.128600056975744,0.0587040688591364,0.107442328731207
"PWY-6168: flavin biosynthesis III (fungi)|unclassified",0.0838468676177774,0.0590185931350549,0.107926828121235
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.299611175087931,0.0593757375741922,0.108488383915071
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus",0.190302856954428,0.0594682262507335,0.10856583511823
"PWY-6936: seleno-amino acid biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus",0.112495040574755,0.0595457183607345,0.108615801083932
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus",0.165425570694217,0.0596284984922381,0.108675320633036
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.203301360616024,0.0597895543109856,0.108877280833534
"HSERMETANA-PWY: L-methionine biosynthesis III",0.0605770510114835,0.0600101631323466,0.109187257353312
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus",0.314212393440203,0.0601260945514275,0.109306415178644
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila",0.396003579998631,0.0602377653261652,0.109417634083655
"PWY-6527: stachyose degradation|unclassified",-0.222599871011843,0.0603022214240877,0.109442976403684
"HISDEG-PWY: L-histidine degradation I|g__Bacteroides.s__Bacteroides_uniformis",0.163308280861362,0.0603601848818175,0.109456502626693
"PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_eligens",-0.170991690895623,0.0607641039873867,0.110004856592036
"VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans",-0.330414690005971,0.0607547228847508,0.110004856592036
"PWY-6151: S-adenosyl-L-methionine cycle I|g__Ruminococcus.s__Ruminococcus_bromii",0.306319795837953,0.0609378848492009,0.110227376016877
"HISTSYN-PWY: L-histidine biosynthesis",0.0311617216924816,0.0610980294058793,0.110424878834479
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans",-0.206429517331426,0.0612960177739664,0.110690392096821
"PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_vulgatus",0.100820431892397,0.0620232290261261,0.111910355786524
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I",0.0318365743844308,0.0631186498742178,0.113722650659338
"PWY0-1296: purine ribonucleosides degradation|g__Eubacterium.s__Eubacterium_eligens",-0.240457397872362,0.0631326020965314,0.113722650659338
"PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_putredinis",-0.177281971407984,0.0633350843640629,0.11399263107718
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.210494944638535,0.063988497890837,0.115073091227754
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.243502295902169,0.0640615525801507,0.115108942322709
"PWY-7208: superpathway of pyrimidine nucleobases salvage|g__Dialister.s__Dialister_invisus",-0.14673068940228,0.0646094210861656,0.115997195935146
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Roseburia.s__Roseburia_faecis",-0.124100037750883,0.0649875338875111,0.116579458554832
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus",0.123681215367715,0.0653272450422692,0.116995157030246
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus",0.123681215367715,0.0653272450422692,0.116995157030246
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.127819430761957,0.0656439336670827,0.117465238857612
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Blautia_obeum",0.0825251719957178,0.0659671955197707,0.117849062400118
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)",0.0223021912758635,0.0659356944778825,0.117849062400118
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus",0.262177038531062,0.0661410304777056,0.118062284221736
"PWY-6700: queuosine biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis",-0.36258820963518,0.066284064690105,0.11817971717275
"HISTSYN-PWY: L-histidine biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis",-0.347119250247323,0.0663158911315479,0.11817971717275
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_xylanisolvens",0.314095998316131,0.066553742793821,0.118408834675049
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens",0.314095998316131,0.066553742793821,0.118408834675049
"PWY-6317: galactose degradation I (Leloir pathway)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.211343297681444,0.0670202379337222,0.119140980805887
"PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0940024741535849,0.0672905846634345,0.119523522103002
"PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_ovatus",0.245684435607725,0.0674758072851079,0.119754360677173
"PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_ovatus",0.232464812727447,0.067686227157543,0.120029504296559
"PWY-5097: L-lysine biosynthesis VI|g__Akkermansia.s__Akkermansia_muciniphila",0.420110872736161,0.0683648493419406,0.121133792742425
"PWY-6700: queuosine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila",0.388012527484949,0.0685294613525856,0.121326260417527
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus",0.0956895153721793,0.0686295146066083,0.121404210736751
"PWY-5973: cis-vaccenate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae",0.0568256385763457,0.0692501492066256,0.122402180530798
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Alistipes.s__Alistipes_finegoldii",0.231008028176077,0.0695268297229075,0.122791067652437
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.148673645057329,0.0708355288781341,0.125000481334623
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.135940870320972,0.071190730677444,0.125525071910513
"PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris",-0.0150406315736691,0.0714671673367191,0.125807759235313
"PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_stercoris",-0.0150406315736691,0.0714671673367191,0.125807759235313
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_vulgatus",0.0886405704883682,0.0719561485740332,0.126565725616826
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_massiliensis",0.202733169033482,0.0724553669400946,0.127237261069032
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_massiliensis",0.202733169033482,0.0724553669400946,0.127237261069032
"PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis",-0.28396959464698,0.0725700615799501,0.12733548456984
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified",-0.130372751102694,0.0727299316023916,0.127512752251119
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.101320695697375,0.0731855378912775,0.128207809709295
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.160405060479534,0.0733081501578087,0.128318870268151
"PWY-6737: starch degradation V|g__Ruminococcus.s__Ruminococcus_bromii",0.22367078155187,0.0737934992452799,0.129064175031898
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila",0.446259649860376,0.0742063394288646,0.129611267083335
"PWY-6168: flavin biosynthesis III (fungi)|g__Bacteroides.s__Bacteroides_vulgatus",0.0833779628222379,0.0743455491391716,0.129611267083335
"PWY-6892: thiazole biosynthesis I (E. coli)|g__Bacteroides.s__Bacteroides_xylanisolvens",0.189346207290669,0.0743455249905708,0.129611267083335
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris",-0.0118865812470136,0.0742774365284855,0.129611267083335
"CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified",-0.132528483113426,0.0748715604014054,0.130423369284442
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.28986185670201,0.075524679667289,0.131455406296398
"PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris",-0.044049057414603,0.0756218455435036,0.13151889188826
"TRPSYN-PWY: L-tryptophan biosynthesis|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.225275023476428,0.0762009441700171,0.132419764247335
"PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0565953667202925,0.0767651197656178,0.133186560874374
"PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0565953667202925,0.0767651197656178,0.133186560874374
"UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens",0.0136904675654153,0.0776858027192386,0.134581311361945
"VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_eligens",-0.0595416258437791,0.0776932258946902,0.134581311361945
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.119516771821385,0.0780720921687312,0.135129571669042
"UNINTEGRATED|g__Dorea.s__Dorea_longicatena",0.0272856037539914,0.0783806578395649,0.135555375529399
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Akkermansia.s__Akkermansia_muciniphila",0.383348721194008,0.0785166117994045,0.135682215127041
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus",0.0667787659459113,0.0786642006681993,0.135828942508357
"PWY-6703: preQ0 biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.227767132524645,0.0792789925654264,0.136781510262165
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_massiliensis",0.216335422768716,0.0796511080080974,0.137314201315471
"PWY-5097: L-lysine biosynthesis VI",0.0195944902319355,0.0800459242056943,0.137885149247806
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.118159770007656,0.0810771862211279,0.139374892597611
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0563145597179135,0.0811037099979639,0.139374892597611
"PWY-5686: UMP biosynthesis|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.189720604441933,0.0810220158110582,0.139374892597611
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Eubacterium.s__Eubacterium_eligens",-0.07714810784929,0.081275072297091,0.139558701796986
"PWY-6151: S-adenosyl-L-methionine cycle I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",-0.0367301125424524,0.0819734252424952,0.140202377664157
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.073742545243909,0.0818891767848796,0.140202377664157
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.073742545243909,0.0818891767848796,0.140202377664157
"COA-PWY: coenzyme A biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis",-0.279619370821087,0.0818110355715201,0.140202377664157
"HISTSYN-PWY: L-histidine biosynthesis|g__Alistipes.s__Alistipes_finegoldii",0.145719068507335,0.0819561959347126,0.140202377664157
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0597184948639588,0.0824253874396801,0.140864207083428
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_eligens",-0.174800855163911,0.0828281378851525,0.141440957286939
"RHAMCAT-PWY: L-rhamnose degradation I|g__Bacteroides.s__Bacteroides_fragilis",0.216991461838149,0.0829526485194791,0.141542038851741
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Parabacteroides.s__Parabacteroides_merdae",0.0441795220502828,0.0830961726469196,0.141675378541208
"PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_massiliensis",0.186528670625723,0.0836061577870018,0.142432817550655
"PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_massiliensis",0.205661832947291,0.083800826017507,0.142652309489346
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_finegoldii",0.16461954522735,0.084374421507725,0.143515990115573
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified",0.0284677318913726,0.0846053645233263,0.143795941115332
"PWY-6123: inosine-5'-phosphate biosynthesis I",0.0406517398046156,0.084752536877187,0.143933187627637
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0644696206111671,0.0850098910535843,0.144215889024807
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.217195763612259,0.0850521025259362,0.144215889024807
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_ovatus",0.271827664204268,0.086079907349102,0.145730593144925
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Eubacterium.s__Eubacterium_eligens",-0.269836735848619,0.0860670767177664,0.145730593144925
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_eligens",-0.152670262399587,0.086228731475155,0.145868587905278
"HSERMETANA-PWY: L-methionine biosynthesis III|g__Roseburia.s__Roseburia_faecis",-0.0997080796787881,0.0865531379332278,0.14630315904938
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Prevotella.s__Prevotella_copri",-0.0310639688140532,0.0873410514347889,0.147519920856732
"PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_stercoris",-0.00532143013035098,0.0877732288588527,0.148134413502441
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0711647436544571,0.0880161437648374,0.148428780963738
"PWY-5097: L-lysine biosynthesis VI|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.174648214496752,0.0885448465737749,0.149204263239013
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.127178519724253,0.0887906529628281,0.149461655030462
"GLUTORN-PWY: L-ornithine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.325841226791505,0.0888355383845107,0.149461655030462
"PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris",-0.0212340908292964,0.0889316788315994,0.149507329734737
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_stercoris",-0.0174359003809358,0.0890132194899613,0.149528408243989
"PWY-6609: adenine and adenosine salvage III|g__Barnesiella.s__Barnesiella_intestinihominis",-0.349833555785343,0.0895451056554686,0.150189043309134
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.143151395305429,0.0895217499288582,0.150189043309134
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Alistipes.s__Alistipes_finegoldii",0.190242477867624,0.0897977034950339,0.150396246990211
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0806445504322441,0.089807449748654,0.150396246990211
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.218359660038282,0.0908374055518296,0.152003596780552
"PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus",0.101472265350555,0.0912566953741116,0.152587391107793
"PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0377689270332928,0.0915034972727709,0.152862844499555
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus",0.247517183724816,0.0916330572242373,0.152862844499555
"THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris",-0.0274721681326355,0.0915778653341778,0.152862844499555
"PWY-5097: L-lysine biosynthesis VI|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.248393946556842,0.0918562957485441,0.153117379143919
"PWY-6737: starch degradation V|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.228744630106748,0.0923218804884299,0.153775184487646
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0588391444504603,0.0925797241750057,0.154086222954867
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus",0.0907785622385178,0.0930844890610792,0.154570182218666
"PWY-6123: inosine-5'-phosphate biosynthesis I|g__Barnesiella.s__Barnesiella_intestinihominis",-0.311477776127026,0.092984692332962,0.154570182218666
"PWY-1042: glycolysis IV (plant cytosol)|g__Bacteroides.s__Bacteroides_massiliensis",0.193245205876288,0.0930811656487977,0.154570182218666
"PWY-6700: queuosine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.297080633211428,0.0931721955633851,0.154597356650732
"PWY-2942: L-lysine biosynthesis III|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.229767636414773,0.0936204440982929,0.155222266534813
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.213724256426543,0.0938061333385502,0.155292506451213
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.213724256426543,0.0938061333385502,0.155292506451213
"PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_stercoris",-0.059984400394009,0.0942049049585838,0.155833609958207
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.070515528063679,0.094323363150182,0.155910547632681
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_vulgatus",0.0645507219442649,0.0945966178901051,0.155983566548101
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Alistipes.s__Alistipes_finegoldii",0.14693676049507,0.0945477178731475,0.155983566548101
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Barnesiella.s__Barnesiella_intestinihominis",-0.38156431284449,0.0947274451210436,0.155983566548101
"VALSYN-PWY: L-valine biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis",-0.38156431284449,0.0947274451210436,0.155983566548101
"PWY-6700: queuosine biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.256029962255415,0.0945692349481762,0.155983566548101
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.266226942043454,0.094873413740417,0.156105305676146
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.187318173043363,0.0949472293758018,0.156108229178576
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Eubacterium.s__Eubacterium_eligens",-0.155643029632732,0.0954666067484332,0.15684316665948
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus",0.0681874070474728,0.0955600057574642,0.156877676118504
"PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Alistipes.s__Alistipes_finegoldii",0.167579153261171,0.096633401048805,0.158519742674308
"PWY-6892: thiazole biosynthesis I (E. coli)|g__Bacteroides.s__Bacteroides_ovatus",0.165396778097667,0.0968226861144428,0.158710106512858
"PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus",0.0801118483792348,0.0969382079300795,0.158779362497719
"THRESYN-PWY: superpathway of L-threonine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus",0.0993833630114846,0.0983929316210515,0.161040394881283
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",-0.126271303747956,0.0986394053620739,0.161321955788388
"HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0783493678502145,0.0989858518840726,0.161766471367108
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_vulgatus",0.0823190526601971,0.0992855141986586,0.162133918062165
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.233886052480203,0.0999249185302866,0.163055194619828
"PWY-5686: UMP biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila",0.393315399998621,0.100002579106569,0.163059133878056
"PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.265472972895303,0.100396154703203,0.163577794918677
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified",-0.0843020787989321,0.100855887134395,0.164203386491536
"PWY-621: sucrose degradation III (sucrose invertase)|g__Roseburia.s__Roseburia_faecis",-0.0968995328187165,0.101468936399684,0.165077466349937
"PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",-0.105618545578571,0.101815517286145,0.16551704873149
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Barnesiella.s__Barnesiella_intestinihominis",-0.318480249999967,0.101897340208097,0.165525889228595
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_faecis",-0.0483526942597086,0.102050484500425,0.165650486825784
"PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_stercoris",-0.0211564764017706,0.10222837844915,0.1658150419905
"HSERMETANA-PWY: L-methionine biosynthesis III|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.215601507793625,0.102378508635205,0.165934351692214
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_stercoris",-0.0149291839109539,0.10316026049415,0.16707644580779
"PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6",0.0596754616359561,0.103473933829696,0.167459308893914
"TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_vulgatus",0.0874355974831155,0.104948478703603,0.169632182548216
